hypothesis_id,hypothesis_title,process_step,fraud_type,test_id,test_status,evidence_entity,evidence_columns,business_key_fields,source_deviation_id,notes
HYP-P2P-001,Duplicate invoice posting,invoice_posting,duplicate_payment,TST-DUPLICATE-POSTINGS,implemented,fraud_1,Kreditor;Belegnummer;Position;Betrag,kreditor;belegnummer;position;betrag,P2P-INV-01,Detección de posibles duplicados de contabilización/pago.
HYP-P2P-002,Unusual amount by vendor,invoice_posting,amount_anomaly,TST-UNUSUAL-AMOUNT-BY-VENDOR,implemented,fraud_1,Kreditor;Betrag;Transaktionsart,kreditor;betrag,P2P-INV-02,Outliers de importe por proveedor.
HYP-P2P-003,Round dollar payment pattern,invoice_posting,suspicious_payment_pattern,TST-ROUND-DOLLAR-PAYMENTS,implemented,fraud_1,Kreditor;Belegnummer;Betrag,kreditor;belegnummer;betrag,P2P-INV-03,Concentración de importes redondos.
HYP-P2P-004,Near-threshold authorization bypass,invoice_posting,authorization_bypass,TST-JUST-BELOW-AUTH-THRESHOLD,implemented,fraud_1,Kreditor;Belegnummer;Betrag,kreditor;belegnummer;betrag,P2P-INV-04,Pagos justo por debajo de umbral de aprobación.
HYP-P2P-005,Split payments near limit,invoice_posting,authorization_bypass,TST-SPLIT-PAYMENTS-NEAR-LIMIT,implemented,fraud_1,Kreditor;Belegnummer;Position;Betrag,kreditor;belegnummer,P2P-INV-05,Fraccionamiento de líneas/pagos para eludir límites.
HYP-P2P-006,Invoice sequence anomaly,invoice_posting,invoice_number_anomaly,TST-INVOICE-SEQUENCE-GAPS,implemented,fraud_1,Kreditor;Belegnummer,kreditor;belegnummer,P2P-INV-06,Saltos o secuencias irregulares en número de factura.
HYP-P2P-007,Negative quantity receipts,goods_receipt,inventory_anomaly,TST-NEGATIVE-QUANTITY-RECEIPTS,implemented,fraud_1,Kreditor;Belegnummer;Material;Menge,kreditor;belegnummer;material,P2P-GR-01,Cantidades negativas en recepción.
HYP-P2P-008,Duplicate material items,invoice_posting,duplicate_entry,TST-DUPLICATE-MATERIAL-ITEMS,implemented,fraud_1,Kreditor;Belegnummer;Position;Material,kreditor;belegnummer;position;material,P2P-INV-07,Duplicidad de material en mismo contexto documental.
HYP-P2P-009,Unusual posting times,invoice_posting,timing_anomaly,TST-UNUSUAL-POSTING-TIMES,implemented,fraud_1,Kreditor;Belegnummer;Betrag;Erfassungsuhrzeit,kreditor;belegnummer;erfassungsuhrzeit,P2P-INV-08,Transacciones registradas fuera de horario habitual.
HYP-P2P-010,Large even-dollar entries,invoice_posting,suspicious_payment_pattern,TST-LARGE-EVEN-DOLLAR-ENTRIES,implemented,fraud_1,Kreditor;Belegnummer;Betrag;Sachkonto;Soll/Haben-Kennz_,kreditor;belegnummer;betrag,P2P-INV-09,Asientos de gran importe par/redondo.
